customer_id,gender,age,tenure,monthly_charges,total_charges,num_logins_last_30d,support_tickets_last_12m,contract_type,payment_method,churn
1,M,28,20,125.23113681498427,2413.3300480080275,12,8,monthly,boleto,0
2,F,19,13,159.85931498824777,2046.7103324650132,25,5,yearly,bank_transfer,0
3,F,50,31,78.23380578444993,2375.7802265623413,1,1,monthly,bank_transfer,0
4,M,53,40,116.56858602189996,4668.645382558851,44,8,yearly,boleto,1
5,M,58,16,129.87951937774,2038.6888999226533,35,9,yearly,credit_card,1
6,F,67,46,160.3348057938848,7351.421517266276,8,0,monthly,boleto,0
7,M,43,38,194.66805661896612,7374.775881867829,33,8,monthly,bank_transfer,1
8,F,61,10,177.24133220064374,1770.0050628919187,9,7,monthly,boleto,1
9,M,55,56,143.2277630344925,7994.328617111339,22,3,yearly,credit_card,0
10,M,32,3,137.54610122522138,359.54899917880755,25,6,monthly,bank_transfer,1
11,F,61,39,140.4780039609006,5482.9304766725145,46,7,monthly,credit_card,0
12,F,20,26,131.77679639896607,3479.570867186348,16,4,monthly,bank_transfer,0
13,F,49,39,58.904432038838536,2303.6961593042415,0,6,yearly,bank_transfer,1
14,F,66,46,154.74445918823073,7087.7541007466825,21,0,yearly,boleto,0
15,F,52,41,157.45052001944043,6449.314000542377,46,9,monthly,boleto,1
16,F,66,39,126.87205434005412,4845.478480744284,39,9,monthly,bank_transfer,0
17,F,20,50,180.55814081038145,9020.93690304213,2,2,monthly,bank_transfer,1
18,M,45,42,150.86552041350177,6316.334138912551,2,4,yearly,bank_transfer,0
19,F,58,49,104.39969867855254,5068.912217348749,37,2,yearly,bank_transfer,0
20,M,51,24,52.95415303979514,1233.294755338485,36,3,monthly,boleto,0
21,F,63,12,58.87424697465201,685.9792386188418,27,2,yearly,bank_transfer,0
22,M,42,14,102.76973924626795,1488.3992632480758,4,8,monthly,bank_transfer,1
23,M,53,37,119.31579877980244,4469.287575691695,14,6,monthly,credit_card,1
24,F,39,32,75.03066792626376,2354.57511556255,42,8,yearly,bank_transfer,0
25,F,63,5,78.39924596339482,366.09236115480445,6,7,monthly,bank_transfer,0
26,F,24,13,84.53170381690045,1074.282651755277,10,7,yearly,boleto,0
27,M,31,58,167.0770009364409,9730.943330091079,22,1,monthly,credit_card,0
28,F,23,43,165.6931761427657,7132.081901770506,36,8,monthly,bank_transfer,0
29,F,54,45,107.44084781206682,4839.477644675059,41,7,monthly,bank_transfer,0
30,M,30,12,75.85465723765938,937.0690175229721,29,1,monthly,bank_transfer,0
31,M,34,4,66.63625775952039,236.72436061753498,24,0,monthly,credit_card,0
32,M,61,18,63.06939680707598,1203.4434712450704,19,7,yearly,credit_card,0
33,M,36,51,108.69188763490581,5543.199036509186,2,3,monthly,bank_transfer,0
34,F,25,30,56.83136499816791,1662.1453276354416,13,3,monthly,boleto,0
35,F,19,47,100.04525556895025,4690.64499955077,10,3,monthly,credit_card,1
36,M,29,29,194.22998638117062,5694.266021264341,2,8,monthly,bank_transfer,1
37,F,65,29,126.1256923415058,3636.3879711044797,37,3,monthly,boleto,0
38,F,46,36,173.39669852527834,6289.759036862261,17,3,monthly,boleto,0
39,M,69,57,69.38989188430986,3923.956547767086,25,3,monthly,boleto,0
40,F,29,26,90.21181736145573,2307.2240665589834,10,0,monthly,credit_card,1
41,M,36,36,191.98196668160134,6944.330671067362,29,0,monthly,credit_card,0
42,F,26,55,107.53278454010353,5870.604521673407,6,4,monthly,boleto,0
43,F,38,22,147.26091926724837,3280.8672363875485,33,0,monthly,boleto,0
44,M,47,50,196.4190168743884,9838.532143670587,36,7,yearly,bank_transfer,0
45,M,60,32,132.61816344961034,4200.101533664151,15,4,monthly,boleto,0
46,F,37,52,95.80189238431039,4978.126266784423,10,5,yearly,bank_transfer,0
47,M,58,28,129.79226839280935,3606.744800470685,39,3,monthly,boleto,0
48,F,50,38,58.195579899628896,2228.880864019351,11,7,yearly,boleto,1
49,F,33,20,66.85548111390368,1431.4995345258446,8,4,yearly,boleto,0
50,F,65,38,51.07566575784049,1922.3400686535674,17,0,monthly,bank_transfer,0
51,F,40,20,182.63150623475065,3679.318938387938,48,4,monthly,credit_card,0
52,M,25,36,150.69206433493935,5426.136348141193,23,1,monthly,boleto,0
53,M,68,47,94.74946476991221,4454.427729339032,13,5,yearly,bank_transfer,0
54,M,65,26,83.17421288109568,2154.2692788719114,25,5,monthly,bank_transfer,0
55,M,20,26,152.461490173667,3921.1278721977637,17,4,monthly,bank_transfer,0
56,M,64,20,187.92980971779238,3775.3531918199706,33,3,monthly,credit_card,1
57,F,67,44,94.8708636578166,4159.880913447961,21,5,monthly,bank_transfer,0
58,M,61,35,98.23386640801726,3392.9453200936678,29,6,yearly,bank_transfer,0
59,F,31,31,178.13610877906595,5572.92803526346,21,8,monthly,bank_transfer,1
60,F,50,2,184.00637238256283,372.96322590024283,24,9,monthly,boleto,0
61,F,45,7,187.1054850244668,1298.3334473041054,22,0,monthly,boleto,0
62,F,50,1,93.97313120100421,160.9759619383191,19,6,monthly,bank_transfer,0
63,M,50,51,68.04688513945234,3378.5870653354195,48,0,yearly,credit_card,0
64,F,51,51,115.9996357997813,5979.622465975301,13,4,yearly,boleto,0
65,M,44,5,94.36472977117717,427.814251399075,40,7,monthly,boleto,0
66,M,53,3,182.58000002177536,558.3166270361021,35,5,monthly,credit_card,1
67,F,45,47,55.49524127053173,2578.8731520089555,26,8,monthly,boleto,0
68,M,18,31,145.08207044544085,4451.394131786045,15,9,monthly,bank_transfer,0
69,M,19,19,185.92720486221708,3598.3112186805465,24,9,monthly,boleto,1
70,M,67,37,196.5005550209099,7363.33136414343,42,6,yearly,boleto,0
71,F,65,14,147.51958989470648,2054.212975993337,9,6,monthly,boleto,1
72,M,48,12,192.488443553357,2326.635057749999,29,8,monthly,boleto,0
73,M,27,22,61.34891939376009,1352.525789245847,38,2,monthly,credit_card,0
74,M,58,53,103.89175189943597,5592.78819253775,31,3,monthly,credit_card,0
75,F,25,46,51.307204599010056,2254.4738891817856,7,3,monthly,credit_card,0
